,Unicode,Character
282,\u4F19,伙
283,\u4F1A,会
284,\u4F1B,伛
285,\u4F1C,伜
286,\u4F1D,伝
287,\u4F1E,伞
288,\u4F1F,伟
289,\u4F20,传
290,\u4F21,伡
291,\u4F22,伢
292,\u4F23,伣
293,\u4F24,伤
294,\u4F25,伥
295,\u4F26,伦
296,\u4F27,伧
297,\u4F28,伨
298,\u4F29,伩
299,\u4F2A,伪
300,\u4F2B,伫
301,\u4F2C,伬
302,\u4F2D,伭
303,\u4F2E,伮
304,\u4F2F,伯
305,\u4F30,估
306,\u4F31,伱
307,\u4F32,伲
308,\u4F33,伳
309,\u4F34,伴
310,\u4F35,伵
311,\u4F36,伶
312,\u4F37,伷
313,\u4F38,伸
314,\u4F39,伹
315,\u4F3A,伺
316,\u4F3B,伻
317,\u4F3C,似
318,\u4F3D,伽
319,\u4F3E,伾
320,\u4F3F,伿
321,\u4F40,佀
322,\u4F41,佁
323,\u4F42,佂
324,\u4F43,佃
325,\u4F44,佄
326,\u4F45,佅
327,\u4F46,但
328,\u4F47,佇
329,\u4F48,佈
330,\u4F49,佉
331,\u4F4A,佊
332,\u4F4B,佋
333,\u4F4C,佌
334,\u4F4D,位
335,\u4F4E,低
336,\u4F4F,住
337,\u4F50,佐
338,\u4F51,佑
339,\u4F52,佒
340,\u4F53,体
341,\u4F54,佔
342,\u4F55,何
343,\u4F56,佖
344,\u4F57,佗
345,\u4F58,佘
346,\u4F59,余
347,\u4F5A,佚
348,\u4F5B,佛
349,\u4F5C,作
350,\u4F5D,佝
351,\u4F5E,佞
352,\u4F5F,佟
353,\u4F60,你
354,\u4F61,佡
355,\u4F62,佢
356,\u4F63,佣
357,\u4F64,佤
358,\u4F65,佥
359,\u4F66,佦
360,\u4F67,佧
361,\u4F68,佨
362,\u4F69,佩
363,\u4F6A,佪
364,\u4F6B,佫
365,\u4F6C,佬
366,\u4F6D,佭
367,\u4F6E,佮
368,\u4F6F,佯
369,\u4F70,佰
370,\u4F71,佱
371,\u4F72,佲
372,\u4F73,佳
373,\u4F74,佴
374,\u4F75,併
375,\u4F76,佶
376,\u4F77,佷
377,\u4F78,佸
378,\u4F79,佹
379,\u4F7A,佺
380,\u4F7B,佻
381,\u4F7C,佼
382,\u4F7D,佽
383,\u4F7E,佾
384,\u4F7F,使
385,\u4F80,侀
386,\u4F81,侁
387,\u4F82,侂
388,\u4F83,侃
389,\u4F84,侄
390,\u4F85,侅
391,\u4F86,來
392,\u4F87,侇
393,\u4F88,侈
394,\u4F89,侉
395,\u4F8A,侊
396,\u4F8B,例
397,\u4F8C,侌
398,\u4F8D,侍
399,\u4F8E,侎
400,\u4F8F,侏
401,\u4F90,侐
402,\u4F91,侑
403,\u4F92,侒
404,\u4F93,侓
405,\u4F94,侔
406,\u4F95,侕
407,\u4F96,侖
408,\u4F97,侗
409,\u4F98,侘
410,\u4F99,侙
411,\u4F9A,侚
412,\u4F9B,供
413,\u4F9C,侜
414,\u4F9D,依
415,\u4F9E,侞
416,\u4F9F,侟
417,\u4FA0,侠
418,\u4FA1,価
419,\u4FA2,侢
420,\u4FA3,侣
421,\u4FA4,侤
422,\u4FA5,侥
423,\u4FA6,侦
424,\u4FA7,侧
425,\u4FA8,侨
426,\u4FA9,侩
427,\u4FAA,侪
428,\u4FAB,侫
429,\u4FAC,侬
430,\u4FAD,侭
431,\u4FAE,侮
432,\u4FAF,侯
433,\u4FB0,侰
434,\u4FB1,侱
435,\u4FB2,侲
436,\u4FB3,侳
437,\u4FB4,侴
438,\u4FB5,侵
439,\u4FB6,侶
440,\u4FB7,侷
441,\u4FB8,侸
442,\u4FB9,侹
443,\u4FBA,侺
444,\u4FBB,侻
445,\u4FBC,侼
446,\u4FBD,侽
447,\u4FBE,侾
448,\u4FBF,便
449,\u4FC0,俀
450,\u4FC1,俁
451,\u4FC2,係
452,\u4FC3,促
453,\u4FC4,俄
454,\u4FC5,俅
455,\u4FC6,俆
456,\u4FC7,俇
457,\u4FC8,俈
458,\u4FC9,俉
459,\u4FCA,俊
460,\u4FCB,俋
461,\u4FCC,俌
462,\u4FCD,俍
463,\u4FCE,俎
464,\u4FCF,俏
465,\u4FD0,俐
466,\u4FD1,俑
467,\u4FD2,俒
468,\u4FD3,俓
469,\u4FD4,俔
470,\u4FD5,俕
471,\u4FD6,俖
472,\u4FD7,俗
473,\u4FD8,俘
474,\u4FD9,俙
475,\u4FDA,俚
476,\u4FDB,俛
477,\u4FDC,俜
478,\u4FDD,保
479,\u4FDE,俞
480,\u4FDF,俟
481,\u4FE0,俠
482,\u4FE1,信
483,\u4FE2,俢
484,\u4FE3,俣
485,\u4FE4,俤
486,\u4FE5,俥
487,\u4FE6,俦
488,\u4FE7,俧
489,\u4FE8,俨
490,\u4FE9,俩
491,\u4FEA,俪
492,\u4FEB,俫
493,\u4FEC,俬
494,\u4FED,俭
495,\u4FEE,修
496,\u4FEF,俯
497,\u4FF0,俰
498,\u4FF1,俱
499,\u4FF2,俲
500,\u4FF3,俳
501,\u4FF4,俴
502,\u4FF5,俵
503,\u4FF6,俶
504,\u4FF7,俷
505,\u4FF8,俸
506,\u4FF9,俹
507,\u4FFA,俺
508,\u4FFB,俻
509,\u4FFC,俼
510,\u4FFD,俽
511,\u4FFE,俾
512,\u4FFF,俿
513,\u5000,倀
514,\u5001,倁
515,\u5002,倂
516,\u5003,倃
517,\u5004,倄
518,\u5005,倅
519,\u5006,倆
520,\u5007,倇
521,\u5008,倈
522,\u5009,倉
523,\u500A,倊
524,\u500B,個
525,\u500C,倌
526,\u500D,倍
527,\u500E,倎
528,\u500F,倏
529,\u5010,倐
530,\u5011,們
531,\u5012,倒
532,\u5013,倓
533,\u5014,倔
534,\u5015,倕
535,\u5016,倖
536,\u5017,倗
537,\u5018,倘
538,\u5019,候
539,\u501A,倚
540,\u501B,倛
541,\u501C,倜
542,\u501D,倝
543,\u501E,倞
544,\u501F,借
545,\u5020,倠
546,\u5021,倡
547,\u5022,倢
548,\u5023,倣
549,\u5024,値
550,\u5025,倥
551,\u5026,倦
552,\u5027,倧
553,\u5028,倨
554,\u5029,倩
555,\u502A,倪
556,\u502B,倫
557,\u502C,倬
558,\u502D,倭
559,\u502E,倮
560,\u502F,倯
561,\u5030,倰
562,\u5031,倱
563,\u5032,倲
564,\u5033,倳
565,\u5034,倴
566,\u5035,倵
567,\u5036,倶
568,\u5037,倷
569,\u5038,倸
570,\u5039,倹
571,\u503A,债
572,\u503B,倻
573,\u503C,值
574,\u503D,倽
575,\u503E,倾
576,\u503F,倿
577,\u5040,偀
578,\u5041,偁
579,\u5042,偂
580,\u5043,偃
581,\u5044,偄
582,\u5045,偅
583,\u5046,偆
584,\u5047,假
585,\u5048,偈
586,\u5049,偉
587,\u504A,偊
588,\u504B,偋
589,\u504C,偌
590,\u504D,偍
591,\u504E,偎
592,\u504F,偏
593,\u5050,偐
594,\u5051,偑
595,\u5052,偒
596,\u5053,偓
597,\u5054,偔
598,\u5055,偕
599,\u5056,偖
600,\u5057,偗
601,\u5058,偘
602,\u5059,偙
603,\u505A,做
604,\u505B,偛
605,\u505C,停
606,\u505D,偝
607,\u505E,偞
608,\u505F,偟
609,\u5060,偠
610,\u5061,偡
611,\u5062,偢
612,\u5063,偣
613,\u5064,偤
614,\u5065,健
615,\u5066,偦
616,\u5067,偧
617,\u5068,偨
618,\u5069,偩
619,\u506A,偪
620,\u506B,偫
621,\u506C,偬
622,\u506D,偭
623,\u506E,偮
624,\u506F,偯
625,\u5070,偰
626,\u5071,偱
627,\u5072,偲
628,\u5073,偳
629,\u5074,側
630,\u5075,偵
631,\u5076,偶
632,\u5077,偷
633,\u5078,偸
634,\u5079,偹
635,\u507A,偺
636,\u507B,偻
637,\u507C,偼
638,\u507D,偽
639,\u507E,偾
640,\u507F,偿
641,\u5080,傀
642,\u5081,傁
643,\u5082,傂
644,\u5083,傃
645,\u5084,傄
646,\u5085,傅
647,\u5086,傆
648,\u5087,傇
649,\u5088,傈
650,\u5089,傉
651,\u508A,傊
652,\u508B,傋
653,\u508C,傌
654,\u508D,傍
655,\u508E,傎
656,\u508F,傏
657,\u5090,傐
658,\u5091,傑
659,\u5092,傒
660,\u5093,傓
661,\u5094,傔
662,\u5095,傕
663,\u5096,傖
664,\u5097,傗
665,\u5098,傘
666,\u5099,備
667,\u509A,傚
668,\u509B,傛
669,\u509C,傜
670,\u509D,傝
671,\u509E,傞
672,\u509F,傟
673,\u50A0,傠
674,\u50A1,傡
675,\u50A2,傢
676,\u50A3,傣
677,\u50A4,傤
678,\u50A5,傥
679,\u50A6,傦
680,\u50A7,傧
681,\u50A8,储
682,\u50A9,傩
683,\u50AA,傪
684,\u50AB,傫
685,\u50AC,催
686,\u50AD,傭
687,\u50AE,傮
688,\u50AF,傯
689,\u50B0,傰
690,\u50B1,傱
691,\u50B2,傲
692,\u50B3,傳
693,\u50B4,傴
694,\u50B5,債
695,\u50B6,傶
696,\u50B7,傷
697,\u50B8,傸
698,\u50B9,傹
699,\u50BA,傺
700,\u50BB,傻
701,\u50BC,傼
702,\u50BD,傽
703,\u50BE,傾
704,\u50BF,傿
705,\u50C0,僀
706,\u50C1,僁
707,\u50C2,僂
708,\u50C3,僃
709,\u50C4,僄
710,\u50C5,僅
711,\u50C6,僆
712,\u50C7,僇
713,\u50C8,僈
714,\u50C9,僉
715,\u50CA,僊
716,\u50CB,僋
717,\u50CC,僌
718,\u50CD,働
719,\u50CE,僎
720,\u50CF,像
721,\u50D0,僐
722,\u50D1,僑
723,\u50D2,僒
724,\u50D3,僓
725,\u50D4,僔
726,\u50D5,僕
727,\u50D6,僖
728,\u50D7,僗
729,\u50D8,僘
730,\u50D9,僙
731,\u50DA,僚
732,\u50DB,僛
733,\u50DC,僜
734,\u50DD,僝
735,\u50DE,僞
736,\u50DF,僟
737,\u50E0,僠
738,\u50E1,僡
739,\u50E2,僢
740,\u50E3,僣
741,\u50E4,僤
742,\u50E5,僥
743,\u50E6,僦
744,\u50E7,僧
745,\u50E8,僨
746,\u50E9,僩
747,\u50EA,僪
748,\u50EB,僫
749,\u50EC,僬
750,\u50ED,僭
751,\u50EE,僮
752,\u50EF,僯
753,\u50F0,僰
754,\u50F1,僱
755,\u50F2,僲
756,\u50F3,僳
757,\u50F4,僴
758,\u50F5,僵
759,\u50F6,僶
760,\u50F7,僷
761,\u50F8,僸
762,\u50F9,價
763,\u50FA,僺
764,\u50FB,僻
765,\u50FC,僼
766,\u50FD,僽
767,\u50FE,僾
768,\u50FF,僿
769,\u5100,儀
770,\u5101,儁
771,\u5102,儂
772,\u5103,儃
773,\u5104,億
774,\u5105,儅
775,\u5106,儆
776,\u5107,儇
777,\u5108,儈
778,\u5109,儉
779,\u510A,儊
780,\u510B,儋
781,\u510C,儌
782,\u510D,儍
783,\u510E,儎
784,\u510F,儏
785,\u5110,儐
786,\u5111,儑
787,\u5112,儒
788,\u5113,儓
789,\u5114,儔
790,\u5115,儕
791,\u5116,儖
792,\u5117,儗
793,\u5118,儘
794,\u5119,儙
795,\u511A,儚
796,\u511B,儛
797,\u511C,儜
798,\u511D,儝
799,\u511E,儞
800,\u511F,償
801,\u5120,儠
802,\u5121,儡
803,\u5122,儢
804,\u5123,儣
805,\u5124,儤
806,\u5125,儥
807,\u5126,儦
808,\u5127,儧
809,\u5128,儨
810,\u5129,儩
811,\u512A,優
812,\u512B,儫
813,\u512C,儬
814,\u512D,儭
815,\u512E,儮
816,\u512F,儯
817,\u5130,儰
818,\u5131,儱
819,\u5132,儲
820,\u5133,儳
821,\u5134,儴
822,\u5135,儵
823,\u5136,儶
824,\u5137,儷
825,\u5138,儸
826,\u5139,儹
827,\u513A,儺
828,\u513B,儻
829,\u513C,儼
830,\u513D,儽
831,\u513E,儾
832,\u513F,儿
833,\u5140,兀
834,\u5141,允
835,\u5142,兂
836,\u5143,元
837,\u5144,兄
838,\u5145,充
839,\u5146,兆
840,\u5147,兇
841,\u5148,先
842,\u5149,光
843,\u514A,兊
844,\u514B,克
845,\u514C,兌
846,\u514D,免
847,\u514E,兎
848,\u514F,兏
849,\u5150,児
850,\u5151,兑
851,\u5152,兒
852,\u5153,兓
853,\u5154,兔
854,\u5155,兕
855,\u5156,兖
856,\u5157,兗
857,\u5158,兘
858,\u5159,兙
859,\u515A,党
860,\u515B,兛
861,\u515C,兜
862,\u515D,兝
863,\u515E,兞
864,\u515F,兟
865,\u5160,兠
866,\u5161,兡
867,\u5162,兢
868,\u5163,兣
869,\u5164,兤
870,\u5165,入
871,\u5166,兦
872,\u5167,內
873,\u5168,全
874,\u5169,兩
875,\u516A,兪
876,\u516B,八
877,\u516C,公
878,\u516D,六
879,\u516E,兮
880,\u516F,兯
881,\u5170,兰
882,\u5171,共
883,\u5172,兲
884,\u5173,关
885,\u5174,兴
886,\u5175,兵
887,\u5176,其
888,\u5177,具
889,\u5178,典
890,\u5179,兹
891,\u517A,兺
892,\u517B,养
893,\u517C,兼
894,\u517D,兽
895,\u517E,兾
896,\u517F,兿
897,\u5180,冀
898,\u5181,冁
899,\u5182,冂
900,\u5183,冃
901,\u5184,冄
902,\u5185,内
903,\u5186,円
904,\u5187,冇
905,\u5188,冈
906,\u5189,冉
907,\u518A,冊
908,\u518B,冋
909,\u518C,册
910,\u518D,再
911,\u518E,冎
912,\u518F,冏
913,\u5190,冐
914,\u5191,冑
915,\u5192,冒
